Term ,Subject,Course Number,Section,CRN,Schedule Type,Monday,Tuesday,Wednesday,Thursday,Friday,Begin Time,End Time,Building,Room ,Maximum Enrollment,Actual Enrollment,Wait List Capacity,Wait List Count,All Instructors,Restrictions,Signature Req,Cross Listing
201710,ANSC,2002,B01,10067,B,M,,,,,1435,1625,HALEY INSTITUTE,116,50,17,0,0,"Pelkey-Field, D./ Fraser, G.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2005,1,10068,L,M,,W,,F,1235,1325,HALEY INSTITUTE,200,75,50,0,0,"Tennessen, T./ Gordon, M.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2005,B01,10069,B,M,,,,,835,1025,RUMINANT ANIMAL CENTRE,103,25,15,0,0,"Gordon, M./ Jeffrey, R./ Patterson, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2005,B02,10070,B,,,,R,,1535,1725,RUMINANT ANIMAL CENTRE,103,25,17,0,0,"Gordon, M./ Jeffrey, R./ McConkey, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2005,B03,10071,B,,T,,,,935,1125,RUMINANT ANIMAL CENTRE,103,25,18,0,0,"Gordon, M./ Jeffrey, R./ McConkey, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2006,1,10072,L,,T,,R,,1305,1425,HALEY INSTITUTE,114,25,14,0,0,"Gordon, M.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2006,B01,10073,B,M,,,,,1135,1325,HALEY INSTITUTE,114,25,14,0,0,"Pelkey-Field, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2007,1,10074,L,,T,,R,,1005,1125,HALEY INSTITUTE,116,18,17,0,0,"Montanholi, Y.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2007,B01,10075,B,,,W,,,935,1125,HALEY INSTITUTE,111,18,17,0,0,"Montanholi, Y.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,3002,1,10076,L,,T,,R,,1135,1255,HALEY INSTITUTE,200,54,52,0,0,"Gordon, M.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,3002,B01,10077,B,,,W,,,1235,1425,AGRICULTURAL COX INSTITUTE,31,54,52,0,0,"Gatti-Yorke, S.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,3003,1,10078,L,,,W,,F,835,955,HALEY INSTITUTE,110,40,38,0,0,"Rathgeber, B.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,3003,B01,10079,B,M,,,,,1235,1425,HALEY INSTITUTE,106,20,18,0,0,"Hartling, M./ Rathgeber, B.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,3003,B02,10080,B,,T,,,,935,1125,HALEY INSTITUTE,106,20,20,0,0,"Hartling, M./ Rathgeber, B.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,4004,1,10081,L,M,,W,,F,1235,1325,AGRICULTURAL COX INSTITUTE,200,15,5,0,0,"Fredeen, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,4004,B01,10082,B,,,,R,,1235,1425,HALEY INSTITUTE,106,15,5,0,0,"Fredeen, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,4007,1,10083,L,,T,,R,,1005,1125,HALEY INSTITUTE,111,11,1,0,0,"Papadopoulos, Y./ Fredeen, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,4007,B01,10084,B,,T,,,,1135,1425,HALEY INSTITUTE,111,11,1,0,0,"Papadopoulos, Y./ Fredeen, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,100,1,10086,L,,T,,R,,1435,1525,BANTING BUILDING,7,15,2,0,0,"Nelson, C.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,100,B01,10087,B,M,,,,,835,1125,BANTING BUILDING,9,15,2,0,0,"Nelson, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,200,1,10088,L,,T,,R,F,835,925,AGRICULTURAL COX INSTITUTE,257,34,27,0,0,"Nelson, C.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,200,B01,10089,B,,,,,F,935,1125,BANTING BUILDING,32,34,27,0,0,"Nelson, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,201,1,10090,L,M,T,,R,,1335,1425,BANTING BUILDING,32,18,17,0,0,"Read, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,201,B01,10091,B,,,,,F,1135,1425,BANTING BUILDING,2,18,17,0,0,"Read, S.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,201,B01,10091,B,,,,,F,1135,1425,BANTING BUILDING,32,18,17,0,0,"Read, S.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,1004,70,14434,L,,,W,,,1705,1955,BANTING BUILDING,9,15,4,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,1004,79,14410,L,,T,,,,1705,1955,,,16,0,0,0,"Nelson, C.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2000,70,10092,L,,T,,,,1705,1955,AGRICULTURAL COX INSTITUTE,136,15,0,0,0,"Hayes, D.",,S,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2002,1,10093,L,,T,,R,,1005,1125,AGRICULTURAL COX INSTITUTE,30,15,8,0,0,"Price, G.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2002,B01,10094,B,,,W,,,835,1125,BANTING BUILDING,7,15,8,0,0,"Price, G.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2008,70,14401,L,,T,,,,1705,1955,AGRICULTURAL COX INSTITUTE,30,15,3,0,0,"Hayes, D.",,S,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2011,1,10095,L,,,,R,,1135,1225,BANTING BUILDING,33,15,7,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2011,1,10095,L,,,,R,,1235,1325,BANTING BUILDING,33,15,7,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2011,1,10095,L,,T,,,,1435,1525,BANTING BUILDING,33,15,7,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2011,B01,10096,B,M,,,,,835,1125,BANTING BUILDING,33,15,7,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2012,1,10097,L,M,,W,,F,1335,1425,AGRICULTURAL COX INSTITUTE,257,15,6,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2012,B01,10098,B,M,,,,,1435,1725,AGRICULTURAL COX INSTITUTE,43,15,6,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2013,1,10099,L,M,,W,,F,1435,1525,BANTING BUILDING,7,15,14,0,0,"Zaman, Q./ Yildiz, I.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,2013,B01,10100,B,,,,R,,1435,1725,BANTING BUILDING,2,15,14,0,0,"Read, S.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,3019,1,10101,L,,,W,,F,1005,1125,RURAL RESEARCH CENTRE,4,15,3,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,3019,B01,10102,B,,T,,,,1135,1325,AGRICULTURAL COX INSTITUTE,24,15,3,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,3020,1,10103,L,,T,,R,,1005,1125,BANTING BUILDING,7,20,6,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,APSC,3020,B01,10104,B,M,,,,,835,1125,AGRICULTURAL COX INSTITUTE,208,20,6,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AQUA,2000,1,10107,L,,,W,,F,835,955,HALEY INSTITUTE,114,40,17,0,0,"Stewart-Clark, S.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AQUA,2000,B01,10108,B,,T,,,,1135,1425,HALEY INSTITUTE,161,20,15,0,0,"Stewart-Clark, S./ Jeffrey, R.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AQUA,2000,B02,10109,B,,,,,F,1435,1725,HALEY INSTITUTE,161,20,2,0,0,"Stewart-Clark, S./ Jeffrey, R.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AQUA,4000,1,10110,L,M,,W,,F,1135,1225,HALEY INSTITUTE,111,20,7,0,0,"Duston, J.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AQUA,4000,B01,10111,B,,,W,,,1435,1725,HALEY INSTITUTE,161,20,7,0,0,"Duston, J./ McConkey, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARBC,1020X,1,13483,L,,T,,R,,1005,1125,MCCAIN ARTS&SS,2018,30,27,10,9,"Firanescu, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARBC,2020X,1,13484,L,M,,W,,,1305,1425,MCCAIN ARTS&SS,2022,25,11,5,0,"Firanescu, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARBC,2030,1,10112,L,,T,,R,,1305,1425,MCCAIN ARTS&SS,2118,30,8,0,0,"Firanescu, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARBC,3040,1,10113,L,,,,,F,1135,1425,MCCAIN ARTS&SS,2102,1,0,0,0,"Treiger, A.",,,"CLAS 4010, CLAS 5817, RELS 4010"
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,1000X,1,13485,L,,,W,,,1435,1725,A.L. MACDONALD,D412,80,72,10,0,"Henry, P.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,1000X,1,13485,L,,,W,,,1435,1725,RALPH M MEDJUCK BLDG,HA19,80,72,10,0,"Henry, P.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,1200X,1,13486,L,M,,,,,1435,1725,RALPH M MEDJUCK BLDG,HA18,60,19,5,0,"Pitcairn, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,2000,1,10114,L,,,,,F,1435,1725,A.L. MACDONALD,D412,30,26,5,5,"Kam, K.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,2025,1,10115,L,M,,,,,1735,2025,A.L. MACDONALD,D410,17,19,5,1,"Tondino, L.",,,PLAN 2025
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3001,1,10116,L,,,,R,,1405,1725,,,70,50,0,0,"Macy, C./ Sweetapple, T./ Brown, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3001,1,10116,L,,,,R,,1405,1725,RALPH M MEDJUCK BLDG,HA18,70,50,0,0,"Macy, C./ Sweetapple, T./ Brown, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3001,1,10116,L,M,,,,,1405,1525,RALPH M MEDJUCK BLDG,HA19,70,50,0,0,"Macy, C./ Sweetapple, T./ Brown, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3001,1,10116,L,M,,,,,1405,1725,RALPH M MEDJUCK BLDG,HD4,70,50,0,0,"Macy, C./ Sweetapple, T./ Brown, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3001,1,10116,L,M,,,R,,1405,1725,RALPH M MEDJUCK BLDG,HA18,70,50,0,0,"Macy, C./ Sweetapple, T./ Brown, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3001,1,10116,L,M,,,R,,1405,1725,RALPH M MEDJUCK BLDG,HA19,70,50,0,0,"Macy, C./ Sweetapple, T./ Brown, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3104,1,10117,L,,,,R,,905,1155,RALPH M MEDJUCK BLDG,HA18,70,51,0,0,"Bonnemaison, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3104,1,10117,L,,,,R,,905,1155,RALPH M MEDJUCK BLDG,HA19,70,51,0,0,"Bonnemaison, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3104,1,10117,L,,,,R,,905,1155,RALPH M MEDJUCK BLDG,HD4,70,51,0,0,"Bonnemaison, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3104,1,10117,L,,,,R,,905,1225,RALPH M MEDJUCK BLDG,HA19,70,51,0,0,"Bonnemaison, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3104,1,10117,L,,T,,,,1105,1225,RALPH M MEDJUCK BLDG,HA19,70,51,0,0,"Bonnemaison, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3207,1,10118,L,,T,,,,1405,1725,RALPH M MEDJUCK BLDG,HA18,70,50,0,0,"Cavanagh, E./ Jannasch, E.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3207,1,10118,L,,T,,,,1405,1725,RALPH M MEDJUCK BLDG,HA19,70,50,0,0,"Cavanagh, E./ Jannasch, E.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3207,1,10118,L,,T,,,,1405,1725,RALPH M MEDJUCK BLDG,HB4,70,50,0,0,"Cavanagh, E./ Jannasch, E.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3207,1,10118,L,M,,,,,1105,1225,RALPH M MEDJUCK BLDG,HA19,70,50,0,0,"Cavanagh, E./ Jannasch, E.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3301,1,10119,L,,,,,F,1105,1225,RALPH M MEDJUCK BLDG,HA19,70,49,0,0,"Fitzgerald, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3501,1,10120,L,,,,,F,1405,1725,RALPH M MEDJUCK BLDG,HA18,70,50,0,0,"Katsepontes, L./ Kam, K.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,3501,1,10120,L,,,,,F,1405,1725,RALPH M MEDJUCK BLDG,HA19,70,50,0,0,"Katsepontes, L./ Kam, K.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,5002,1,12691,L,,,,,F,1405,1725,RALPH M MEDJUCK BLDG,HB4,15,9,0,0,"Savage, N.",R,S,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,5002,1,12691,L,,T,,,,1405,1525,RALPH M MEDJUCK BLDG,HA19,15,9,0,0,"Savage, N.",R,S,
,,,,,,,,,,,,,,,,,,,,,,
201710,ARCH,5002,1,12691,L,,T,,,F,1405,1725,RALPH M MEDJUCK BLDG,HD1,15,9,0,0,"Savage, N.",R,S,
,,,,,,,,,,,,,,,,,,,,,,
